Wavelength_Angs Flux(erg/s/cm2/A)
3.721071371266328242e+03 1.033109985291957855e-02
3.721928278264548680e+03 1.023350004106760025e-02
3.722785382595619012e+03 1.073729991912841797e-02
3.723642684304973955e+03 1.254399958997964859e-02
3.724500183438075055e+03 1.888979971408843994e-02
3.725357880040377950e+03 3.246650099754333496e-02
3.726215774157364194e+03 4.684299975633621216e-02
3.727073865834511707e+03 5.362889915704727173e-02
3.727932155117322509e+03 5.773060023784637451e-02
3.728790642051294981e+03 6.458999961614608765e-02
3.729649326681952971e+03 6.371919810771942139e-02
3.730508209054814870e+03 4.678909853100776672e-02
3.731367289215425899e+03 2.605200000107288361e-02
3.732226567209325367e+03 1.473200041800737381e-02
3.733086043082079868e+03 1.117299962788820267e-02
3.733945716879249630e+03 1.008519995957612991e-02
3.734805588646421256e+03 9.704800322651863098e-03
3.735665658429180894e+03 9.513299912214279175e-03
3.736525926273124696e+03 9.598400443792343140e-03
3.737386392223870644e+03 1.008739974349737167e-02
3.738247056327032169e+03 1.087629981338977814e-02
3.739107918628248171e+03 1.181009970605373383e-02
3.739968979173153457e+03 1.262530032545328140e-02
3.740830238007408298e+03 1.319869980216026306e-02
3.741691695176667508e+03 1.341690029948949814e-02
3.742553350726612734e+03 1.332089956849813461e-02
3.743415204702920619e+03 1.300780009478330612e-02
3.744277257151293270e+03 1.262910012155771255e-02
3.745139508117427795e+03 1.222550030797719955e-02
3.746001957647048130e+03 1.179319992661476135e-02
3.746864605785872300e+03 1.131900027394294739e-02
3.747727452579645160e+03 1.063449960201978683e-02
